time,x_est,y_est,z_est,x_sp,y_sp,z_sp
15977,-0.232983,-0.0708981,-1.14588,0,0,-1.5
15977,-0.233406,-0.0720575,-1.14542,0,0,-4
15977,-0.233614,-0.0726152,-1.14521,0,0,-4
15977,-0.233816,-0.0731634,-1.14501,0,0,-4
15977,-0.234011,-0.0737024,-1.14481,0,0,-4
15977,-0.234808,-0.0746804,-1.14345,0,0,-4
15977,-0.235189,-0.0751526,-1.14282,0,0,-4
15977,-0.23556,-0.0756138,-1.14221,0,0,-4
15977,-0.23592,-0.0760644,-1.14161,0,0,-4
15977.1,-0.236588,-0.07693,-1.14046,0,0,-4
15977.1,-0.236893,-0.0773479,-1.1399,0,0,-4
15977.1,-0.237189,-0.0777557,-1.13936,0,0,-4
15977.1,-0.237476,-0.0781535,-1.13886,0,0,-4
15977.1,-0.237755,-0.0785414,-1.13837,-0.238041,-0.0842088,-1.12353
15977.1,-0.238293,-0.0792896,-1.13741,-0.238041,-0.0842087,-1.12353
15977.1,-0.238541,-0.079664,-1.1368,-0.238039,-0.084208,-1.12356
15977.1,-0.238759,-0.0800258,-1.13632,-0.238033,-0.084206,-1.12362
15977.1,-0.23901,-0.0806282,-1.13551,-0.238023,-0.0842023,-1.12375
15977.1,-0.239064,-0.0808555,-1.13512,-0.238006,-0.0841961,-1.12396
15977.2,-0.239126,-0.0810646,-1.13474,-0.23798,-0.0841871,-1.12427
15977.2,-0.23918,-0.0812888,-1.13436,-0.237945,-0.0841746,-1.1247
15977.2,-0.239253,-0.0817246,-1.13367,-0.237898,-0.0841581,-1.12526
15977.2,-0.239298,-0.0819135,-1.13336,-0.237839,-0.0841371,-1.12598
15977.2,-0.239344,-0.0821149,-1.13305,-0.237766,-0.0841113,-1.12686
15977.2,-0.239381,-0.0823177,-1.13275,-0.237677,-0.08408,-1.12793
15977.2,-0.239448,-0.0827034,-1.13218,-0.237572,-0.0840429,-1.1292
15977.2,-0.239478,-0.0828874,-1.13193,-0.23745,-0.0839995,-1.13068
15977.2,-0.239507,-0.0830632,-1.13169,-0.237308,-0.0839494,-1.13239
15977.2,-0.239533,-0.0832326,-1.13145,-0.237147,-0.0838923,-1.13434
15977.3,-0.239611,-0.0835149,-1.131,-0.236964,-0.0838277,-1.13655
15977.3,-0.239581,-0.0835776,-1.13026,-0.23676,-0.0837553,-1.13902
15977.3,-0.239554,-0.083635,-1.12953,-0.236532,-0.0836748,-1.14177
15977.3,-0.239528,-0.0836886,-1.12886,-0.23628,-0.0835858,-1.14481
15977.3,-0.239482,-0.0837861,-1.12755,-0.236004,-0.083488,-1.14815
15977.3,-0.239461,-0.0838301,-1.12692,-0.235702,-0.0833811,-1.1518
15977.3,-0.239442,-0.0838691,-1.12631,-0.235373,-0.0832648,-1.15578
15977.3,-0.239424,-0.083906,-1.12571,-0.235017,-0.0831388,-1.16008
