time,x,y,z
1766255372.4274497,-0.08926386,0.062000025,-0.55220956
1766255372.5274565,-0.08912885,0.061906256,-0.55742395
1766255372.6275113,-0.08898324,0.061805118,-0.56304824
1766255372.727546,-0.08882676,0.06169643,-0.5690922
1766255372.8277154,-0.088659175,0.061580032,-0.57556516
1766255372.92738,-0.08848026,0.06145576,-0.58247584
1766255373.0276833,-0.0882898,0.06132347,-0.5898323
1766255373.12743,-0.088087596,0.061183028,-0.5976422
1766255373.227549,-0.08787348,0.06103431,-0.6059124
1766255373.3275115,-0.08764728,0.060877196,-0.6146493
1766255373.427637,-0.08740884,0.060711585,-0.62385887
1766255373.5273306,-0.08715803,0.06053738,-0.6335464
1766255373.6274567,-0.08689472,0.060354494,-0.6437167
1766255373.7273636,-0.086618796,0.060162846,-0.65437406
1766255373.8273537,-0.086330175,0.059962373,-0.6655222
1766255373.927313,-0.086028755,0.05975302,-0.6771644
1766255374.027483,-0.085714474,0.05953473,-0.6893033
1766255374.1272373,-0.085387275,0.059307467,-0.70194125
1766255374.2273905,-0.08504711,0.059071198,-0.71508
1766255374.3272555,-0.084693946,0.058825903,-0.72872084
1766255374.427418,-0.084327765,0.058571562,-0.74286455
1766255374.5274093,-0.08394855,0.058308173,-0.7575115
1766255374.6273649,-0.08355632,0.058035735,-0.77266157
1766255374.7274106,-0.083151065,0.057754263,-0.7883142
1766255374.8272824,-0.08273283,0.057463765,-0.8044685
1766255374.9272707,-0.08230165,0.057164278,-0.8211229
1766255375.027364,-0.08185756,0.05685583,-0.83827555
1766255375.1272624,-0.08140063,0.05653846,-0.85592437
1766255375.2272437,-0.080930926,0.056212217,-0.8740665
1766255375.3272579,-0.08044853,0.05587716,-0.89269894
1766255375.4278152,-0.07995353,0.055533346,-0.9118182
1766255375.5276346,-0.07944602,0.055180848,-0.9314205
1766255375.6272106,-0.078926116,0.054819737,-0.9515017
1766255375.7274466,-0.078393936,0.054450102,-0.9720569
1766255375.8271601,-0.07784961,0.05407203,-0.9930814
1766255375.9272733,-0.07729328,0.053685613,-1.0145698
1766255376.0274894,-0.07672507,0.053290956,-1.0365164
1766255376.127406,-0.07614516,0.052888166,-1.0589154
1766255376.2273858,-0.0755537,0.052477356,-1.0817604
1766255376.3272047,-0.07495087,0.052058645,-1.1050446
1766255376.4273245,-0.07433684,0.051632162,-1.1287612
1766255376.5274339,-0.073711805,0.05119803,-1.1529028
1766255376.6272254,-0.073075965,0.050756395,-1.1774621
1766255376.7271664,-0.072429515,0.05030739,-1.2024311
1766255376.8273456,-0.071772665,0.04985116,-1.2278017
1766255376.9273908,-0.07110564,0.049387865,-1.2535653
1766255377.027387,-0.07042866,0.048917655,-1.2797135
1766255377.1271975,-0.06974196,0.04844069,-1.3062372
1766255377.2272432,-0.06904577,0.04795714,-1.3331273
1766255377.327171,-0.06834034,0.04746717,-1.3603743
1766255377.4271696,-0.06762591,0.04697095,-1.3879688
1766255377.527358,-0.06690276,0.046468668,-1.4159006
1766255377.6273263,-0.066171125,0.045960497,-1.4441595
1766255377.7271955,-0.06543129,0.045446627,-1.4727355
1766255377.827593,-0.06468352,0.04492725,-1.5016179
1766255377.92719,-0.06392809,0.044402555,-1.5307962
1766255378.0273325,-0.06316529,0.043872733,-1.5602591
1766255378.127145,-0.062395394,0.043337986,-1.5899961
1766255378.2271745,-0.06161871,0.042798527,-1.6199951
1766255378.3271384,-0.060835525,0.042254552,-1.6502454
1766255378.4272377,-0.060046148,0.04170627,-1.680735
1766255378.5273628,-0.05925087,0.041153893,-1.7114525
1766255378.627198,-0.05845,0.040597633,-1.7423857
1766255378.7271216,-0.05764385,0.040037706,-1.7735231
1766255378.827339,-0.056832742,0.039474335,-1.8048519
1766255378.9270494,-0.056016985,0.038907737,-1.8363602
1766255379.0272608,-0.055196907,0.038338132,-1.8680354
1766255379.1272058,-0.05437282,0.03776575,-1.8998656
1766255379.2271206,-0.053545058,0.03719081,-1.9318377
1766255379.3271317,-0.052713938,0.03661354,-1.9639394
1766255379.42739,-0.051879805,0.03603417,-1.9961576
1766255379.5271373,-0.051042978,0.035452936,-2.0284798
1766255379.6270747,-0.05020379,0.034870062,-2.060893
1766255379.7271109,-0.04936258,0.034285784,-2.0933847
1766255379.8270555,-0.048519682,0.033700332,-2.1259413
1766255379.9271533,-0.047675427,0.033113938,-2.1585503
1766255380.0272026,-0.046830166,0.032526843,-2.1911983
1766255380.127224,-0.045984227,0.031939276,-2.2238727
1766255380.2271917,-0.045137946,0.031351477,-2.2565598
1766255380.3271902,-0.044291664,0.030763675,-2.2892473
1766255380.4271274,-0.043445725,0.03017611,-2.3219216
1766255380.5274894,-0.04260046,0.029589016,-2.3545694
1766255380.6272082,-0.041756213,0.029002625,-2.3871784
1766255380.727054,-0.040913314,0.028417174,-2.4197352
1766255380.827167,-0.040072106,0.027832896,-2.4522266
1766255380.9271357,-0.039232913,0.027250014,-2.4846401
1766255381.0270884,-0.038396087,0.02666878,-2.5169623
1766255381.1273248,-0.037561946,0.026089411,-2.5491807
1766255381.227011,-0.036730833,0.025512144,-2.5812824
1766255381.3270824,-0.035903066,0.024937205,-2.6132545
1766255381.4270847,-0.035078984,0.024364822,-2.6450844
1766255381.527137,-0.034258902,0.023795217,-2.67676
